,Strain,Number,Attenuation,Flocculation,Alcohol_Tolerance,Fermentation_Temperature,STA1,Description
0,PCR - STA1,,,,,,,"An assay to detect the presence of the STA1+ gene in diastatic S. cerevisiae strains. The STA1 gene encodes the enzyme that breaks down starch, resulting in re-fermentation and overcarbonated packaged product. We recommend a combination of LCSM plating and PCR for the detection of STA1+ diastatic yeast. Turnaround time is 3 days."
0,,e,,,,,,n
0," Extra Special 
",OYL-016,>67-71%</d,Very,""">9% ",""">64–72° F (18–22° C)<",>No</d,"
    <strong>Extra Special was formerly British Ale VIII</strong>
  "
0," West Coast Ale IV 
",OYL-050,>73-80%</d,Medi,""">10%",""">62–74° F (17–23° C)<",>No</d,"An easy to handle strain, this neutral-tasting, quick-and-good flocculator and highly productive top cropper has excellent attenuation. Any fruity esters are somewhat mild through its higher temperature range, though they do decrease at the lower end. The relatively subtle yeast-contributed flavor cedes pleasantly to hops and malts."
0," Hefeweizen Ale I 
",OYL-021,>73-77%</d,Low<,""">10%",""">64–75° F (18–24° C)<",>No</d,"
    A classic German wheat strain, it’s a cloudy, big top cropper. Presenting banana and clove, the esters turn up with increased temperatures, wort density and decreased pitch rate, or stay muted at lower temperatures where clove stands out. Over pitching can lessen the banana. Sulfur conditions out. See also 
    <a href=""https://omegayeast.com/yeast/belgian-ales/belgian-ale-a"">Belgian Ale A (OYL-024)</a>
     for an alternate complexity.
  "
0,BU,,,,,,,"Looking to dial in the perfect bitterness in your prized pilsner? Estabilish consistent hop utilization by measuring total hop bittering compounds, reported as Bitterness Units (BUs)."
0,AN,,,,,,,"Yeast thrive on sugar in the wort, but a common yeast performance issue is inadequate nitrogen. Tracking Free Amino Nitrogen (FAN) can help determine if additional yeast nutrient is needed. Results reported as FAN (mg/L) in wort or beer using a spectrophotometer. ASBC Method: Wort-12A."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,aze,,,,,,,"
    How much haze is 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    hazy”? We can help determine the consistency of your hazy IPAs or check for chill haze in your lagers. The level of haze/turbidity is reported as Nephelometric Turbidity Units (NTUs), as well as the absorbance value ratios S25/S0 and S90/S0, using an Anton Paar HazeQC ME.
  "
0," Pilsner II 
",OYL-108,>70-74%</d,Medi,""">9% ",""">50–58° F (10–14° C)<",>No</d,"Thought to be the D strain of the famous Pilsen brewer. With a dry and malty taste profile, it is the second of the famous Czech strains inspiring America’s most famous light, brilliantly clear, golden lagers."
0," Kolsch I 
",OYL-017,>73-77%</d,Low<,""">10%",""">56–70° F (13–21° C)<",>No</d,"An enthusiastically top cropping, lager-like ale strain from Köln, Kolsch I is lightly fruity, crisp and clean, and accentuates hop flavors well. This strain can be fermented colder than Kolsch II (OYL- 044), and is powdery and slow to drop clear (filtering recommended). Kolsch II (OYL-044) is a little easier to manage. Sulfur disappears with age."
0,,e,,,,,,n
0," Oktoberfest 
",OYL-107,>73-77%</d,Medi,""">9% ",""">46–58° F (8–14° C)</",>No</d,"Fans of Märzenbier and Oktoberfest Lagers particularly enjoy this strain. The Oktoberfest strain facilitates a smooth, rich, balanced beer with full, malty profile. Make sure to give it a thorough diacetyl rest."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,MDA+,,,,,,,A good catch-all media for bacterial contaminants. Great for monitoring packaging-line hygiene and environmental/water samples. Clearing/color change of the media can be used to identify acid producing bacteria. ASBC Methods: Microbiological Controls 2 and 5. Turnaround time is 3 days.
0,,e,,,,,,n
0," Espe Kveik 
",OYL-090,>75-82%</d,Medi,""">12%",""">68–95° F (20–35° C)<",>No</d,"Originating from the village of Grodås in Norway, the Espe kveik blend offers the unique profile of lychee, pear, and tropical fruit cup. It bolsters the sweet aromatics of modern IPAs, but is versatile enough for your flagship pale ale or seasonal brew. Most expressive when fermented at 90°F+ (32°C+), Espe still reveals character at its lower temperature range."
0," Tropical IPA 
",OYL-200,>82-90%</d,Low<,""">10%",""">70–85° F (21–29° C)<",>Yes</,"A unique Saccharomyces strain that produces delicate, tart, tropical mango and pineapple fruit characteristics with a clean finish. Try higher fermentation temperatures to really bring out the tropical aspects. It’s stubbornly non-flocculent, but the results are worth the trouble."
0," Bavarian Wheat II 
",OYL-034,>70-76%</d,Low<,""">10%",""">64–75° F (18–24° C)<",>No</d,"
    A big top-cropper and a low-flocculator, with banana, light pear, apple/plum, clove and vanilla. Another great wheat beer option with a complex bouquet relative to 
    <a href=""https://omegayeast.com/yeast/ales/hefeweizen-ale-i"">Hefeweizen Ale I (OYL-021)</a>
    . Up the esters with higher temperatures, wort density and lower pitch rate, or keep muted at lower temperatures to show clove. Sulfur conditions out.
  "
0,,e,,,,,,n
0,,e,,,,,,n
0," Kolsch II 
",OYL-044,>72-78%</d,Medi,""">10%",""">65–69° F (18–21° C)<",>No</d,"
    This Kolsch strain is warmer fermenting than 
    <a href=""https://omegayeast.com/yeast/ales/kolsch-i"">Kolsch I (OYL-017)</a>
    , flocculates much better and clears more quickly, so is a little easier to manage. It is a lager-like ale strain that’s lightly fruity, crisp and clean with a hint of sulfur that disappears with age to leave a clean ale. Accentuates hop flavors.
  "
0,,e,,,,,,n
0," DIPA Ale 
",OYL-052,>72-80%</d,Medi,""">11%",""">65–72° F (18–22° C)<",>No</d,"
    A strong fermenter popularly referred to as 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    Conan.” Its peach, apricot and pineapple notes are steroids for hops, complementing modern fruity hop profiles in particular. A diacetyl rest is suggested if fermented in the lower temperature range. Many brewers enjoy blending DIPA with 
    <a href=""https://omegayeast.com/yeast/ales/british-ale-v"">British V (OYL-011) </a>
    for enhanced haze and complex, fruity ester profile.
  "
0,,e,,,,,,n
0," Belgian Saison I 
",OYL-027,>76-80%</d,Low<,""">12%",""">70–95° F (21–35° C)<",>Yes</,"
    Well-regarded as a farmhouse ale strain despite fickle fermentation behavior. It has fruity complexity, noticeable phenolics and a tart, dry finish. Though it behaves better at warm fermentation temperatures, it is still well-known to stall around 1.030 OG. Try using an additional strain to aid attenuation. Or use 
    <a href=""https://omegayeast.com/yeast/belgian-ales/saisonstein"">
      Saisonstein
      <sup>®</sup>
       (OYL-500)
    </a>
    , 
    <a href=""https://omegayeast.com/yeast/belgian-ales/belgian-saison-ii"">Belgian Saison II (OYL-042)</a>
     or 
    <a href=""https://omegayeast.com/yeast/belgian-ales/french-saison"">French Saison (OYL-026).</a>
  "
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,RS+ (aerobic & anaerobic),,,,,,,"A media tailored for growing lactobacillus, it is used to identify some of the more problematic bacterial beer spoilers. The addition of cycloheximide suppresses the growth of brewing yeast. ASBC Methods: Microbiological Controls 2 and 5. Turnaround time is 5 days."
0,,e,,,,,,n
0," Biere de Garde 
",OYL-039,>74-79%</d,Low<,""">9% ",""">70–84° F (21–29° C)<",>Yes</,"
    Lightly phenolic, fruity, dry, delicately tart and a very low flocculator, this presents much like a saison strain. Try this for Bière de Garde, or a Belgian or French farmhouse ale. In fact, a clean-bodied Bière de Garde can be achieved with any lager strain here at the warm end of its temperature range. For farmhouse, try also 
    <a href=""https://omegayeast.com/yeast/belgian-ales/french-saison"">French Saison (OYL-026)</a>
     or 
    <a href=""https://omegayeast.com/yeast/belgian-ales/belgian-saison-ii"">Belgian Saison II (OYL-042)</a>
    .
  "
0,,e,,,,,,n
0," Hefeweizen Ale II 
",OYL-022,>70-76%</d,High,""">10%",""">63–75° F (17–24° C)<",>No</d,"
    Very similar to 
    <a href=""https://omegayeast.com/yeast/ales/hefeweizen-ale-i"">Hefeweizen Ale I (OYL-021)</a>
     except flocculent, Hefeweizen Ale II produces a crystal clear body with no additional steps and is a big top cropper. Up esters with upper fermentation temperatures, wort density and decreased pitch rate, or keep esters muted to let clove show. Turn down banana by over pitching. Sulfur conditions out.
  "
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0," Brett. Claussenii 
",OYL-201,>85%+</div,Low<,""">10%",""">70–85° F (21–29° C)<",t-deta,"
    Bretts offer a crucial complexity for wild Belgian and American styles, creating distinct flavors Sacch cannot. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-claussenii"">Brett Claussenii (OYL-201)</a>
     offers the mildest funk, presenting leather and some pineapple. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-bruxellensis"">Brett Brux (OYL-202)</a>
     contributes medium intensity with classic barnyard earthiness. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-lambicus"">Brett Lambicus (OYL-203)</a>
     dives in deep with horsey, spicy, cherry pie funk. All three strains do their best work as secondary yeasts. 
    <u>Not intended to be used as a primary fermentation yeast.</u>
  "
0,,e,,,,,,n
0," American Wheat 
",OYL-002,>74-78%</d,Low<,""">10%",""">58–74° F (14–23° C)<",>No</d,"Energetically top cropping, this powerful fermenter leaves behind a light, tart, refreshingly crisp character. Fairly clean and lightly dry, American Wheat excels particularly at American styles. The touch of sulfur produced during fermentation conditions out."
0," Belgian Ale D 
",OYL-019,>74-78%</d,Low<,""">12-",""">64–80° F (18–27° C)<",>Yes</,"
    Like a devil’s bargain, Belgian Ale D demands sacrifice for the promise of great pay off: brewers who use this strain suffer through tricky fermentation kinetics for its rich flavor profile and aroma complexity. If you are tempted by this low-flocculating stop-and-starter, try 
    <a href=""https://omegayeast.com/yeast/belgian-ales/belgian-golden-strong"">Belgian Golden Strong (OYL-056)</a>
     instead. It has a similar flavor profile with much more reliable fermentation.
  "
0," German Lager II 
",OYL-109,>68-76%</d,Medi,""">9% ",""">50–55° F (10–13° C)<",>No</d,"Great for Bavarian styles. A confident fermenter with good attenuation resulting in a smooth, full-bodied, malty finish and balanced aroma. Slight sulfur and low diacetyl."
0," Belgian Ale R 
",OYL-020,>73-82%</d,Medi,""">12%",""">65–75° F (18–24° C)<",>No</d,"This has low phenolics for a Belgian strain, with stone fruit and light, floral or rose-like aromas. Sulfur produced dissipates with conditioning. Accentuated flavors and aromas occur at higher temps, and in a high gravity environment."
0," French Saison 
",OYL-026,>80-90%</d,Low<,""">12%",""">65–77° F (18–25° C)<",>Yes</,"This citrusy, lightly phenolic saison strain is so attenuative and reliable in performance that people joke it could ferment a shoe. The French Saison strain results in great body consistency. It is good for any of the characteristically aromatic Belgian styles and is highly compatible with hops and spice aromas."
0,,e,,,,,,n
0," Wit 
",OYL-030,>72-76%</d,Medi,""">11-",""">62–75° F (17–24° C)<",>No</d,"Enthusiastically top cropping, this essential Wit yeast is distinctive for the popular, refreshing, easy-drinking summer style. Spicy phenolics carry the flavoring, while at the same time being supported — but not overshadowed — by good ester character. Lightly tart and dry."
0," Belgian Ale W 
",OYL-028,>74-78%</d,Medi,""">11-",""">64–78° F (18–26° C)<",>No</d,"An eruptive top cropper displaying nice fruit and rustic phenolics. This reliable Belgian strain is a good flocculator with a wide temperature range. Three famous brewers ferment this on vastly different schedules, showing the varied outcomes available."
0,BV,,,,,,,"Estimating alcohol by gravity measurements can be unreliable for fruited or barrel-aged beer. Ensure label compliance with our TTB-certified analysis, using our Anton Paar Beer ME with DMA 4500 M, to determine the alcohol by volume (%v/v) and specific gravity of your beer. Additional extracts are available upon requests (Extracts, LAB-007)."
0," Belgian Ale O 
",OYL-046,>74-80%</d,Medi,""">12%",""">66–72° F (19–22° C)<",>No</d,"
    With balanced fruit and phenolics, this Trappist ale yeast’s clean and dry profile carries a signature sharp tasting, slightly acidic finish that the thought-to-be brewery of origin describes as 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    acidulous.” Welcomes high gravity. Belgian profile is toned down compared to 
    <a href=""https://omegayeast.com/yeast/belgian-ales/abbey-ale-c"">Abbey Ale C (OYL-018)</a>
     and 
    <a href=""https://omegayeast.com/yeast/belgian-ales/belgian-ale-w"">Belgian Ale W (OYL-028).</a>
  "
0,,e,,,,,,n
0,,e,,,,,,n
0,LN,,,,,,,Different brewing strains show distinct colony morphology and color on this media making it a great option for monitoring the purity of your yeast and testing for yeast cross contamination. ASBC Methods: Microbiological Controls 2 and 5. Turnaround time is 4 days.
0," British Ale I 
",OYL-006,>70-80%</d,Medi,""">10%",""">64–72° F (18–22° C)<",>No</d,"
    A productive, brewery friendly, top cropper attributed to a historic London brewery whose lab once hosted Louis Pasteur. It drops fast and clear, and is clean and crisp at low temperatures with heightened esters and a lightly tart, dry finish at upper ranges. Try also 
    <a href=""https://omegayeast.com/yeast/ales/british-ale-ii"">British Ale II (OYL-007)</a>
     for less attenuation and enhanced malts, or 
    <a href=""https://omegayeast.com/yeast/ales/extra-special"">British VIII (OYL-016).</a>
  "
0,,e,,,,,,n
0," West Coast Lager 
",OYL-105,>67-71%</d,High,""">9% ",""">58–68° F (14–20° C)<",>No</d,"A lager strain that performs very well at ale temperatures, this strain is ideal for California common beer, also known as steam beer. Malty and crystal clear, it is considered by many to be best in its upper temperature range, around 65°F / 18°C."
0,,e,,,,,,n
0,,e,,,,,,n
0," Danish Lager 
",OYL-104,>73-77%</d,Low<,""">9% ",""">46–56° F (8–13° C)</",>No</d,"A powdery low flocculator, this strain produces a crisp and dry, soft and round profile that’s great for supporting hop flavors. Ferments relatively cool and has low attenuation. Allow for long conditioning to help clear. Good in Dortmund lagers, Munich helles, and American lagers."
0,,e,,,,,,n
0,otal Protein,,,,,,,"Protein content in beer determines foam retention, mouthfeel, and plays an important role in colloidal haze. Results are collected using a spectrophotometer and reported as total protein content by weight (%, w/w); note that PVPP stabilized beer will require an additional Total Polyphenol analysis for accuracy. ASBC Method: Beer-11C"
0,,e,,,,,,n
0,rivate Strain Banking,,,,,,,"Bank your own private strain with us! From house strains to wild captures, we’ll store your yeast culture to propagate at your request."
0,escriptive Analysis - Bacteria,,,,,,,A method for a quick characterization of a bacterial contaminant. Gram and Catalase status can narrow in on whether the bacterial colony may pose risk as a beer spoiler. ASBC Methods: Microbiological Control 3. Turnaround time is immediately after incubation.
0,,e,,,,,,n
0," Abbey Ale C 
",OYL-018,>74-78%</d,Medi,""">12%",""">68–78° F (20–26° C)<",t-deta,"The Abbey Ale C’s Trappist origin is best coupled with a little monastic patience: a notably low-flocculator, it works great in high ABV fermentations. It has a fruity profile and lightly perceptible spiciness with often significant banana character."
0,,e,,,,,,n
0,DK,,,,,,,"The presence of diacetyl, an off-flavor produced and later reabsorbed by yeast, is a great way to gauge fermentation progress. If you’re worried about hop creep or want to ensure that your diacetyl rest is adequate, our GC-ECD method will report diacetyl concentration in ppb. ASBC Method: Beer-25 if sending sample that is prior to packaging, please keep samples cold.<br>"
0,,e,,,,,,n
0,,e,,,,,,n
0," British Ale III 
",OYL-008,>67-74%</d,High,""">10%",""">64–74° F (18–23° C)<",>No</d,"This is a top cropping, complex and malty strain. A shy starter, it’s slow but steady to ferment and a notorious diacetyl maker. Despite its finicky nature, its noteworthy esters match well with English style ales. It is highly flocculent and clears extremely well without filtration."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,6S/ITS Sequencing,,,,,,,"If you have a recurrent contamination or have isolated a wild bacteria/yeast and want to know what species it is, direct colony sequencing is the way to go. Turnaround time is 10 – 14 days."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,"xtracts - FG, AE, RE, OE, ADF, RDF",,,,,,,"Determines specific gravity, apparent extract, real extract, original extact, apparent degree of fermentation, and real degree of fermentation using an Anton Paar Alcolyzer Beer ME with DMA 4500 M. ASBC Method: Beer-4G. TTB Certified. Additional extracts available upon request."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0," Pediococcus 
",OYL-606,details--2,tail,ls--2,""">68–80° F (20–27° C)<",>No</d,"
    This modestly hop tolerant Pedio strain produces a clean lactic tang over time. The strain can produce diacetyl so it is often paired with one or more Brett strains (to consume the diacetyl). While more hop tolerant than the 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/lactobacillus-blend"">Lacto Blend (OYL-605)</a>
    , IBUs over 5 – 10 may inhibit souring. Souring time can vary depending on IBU level.
  "
0,,e,,,,,,n
0," British Ale II 
",OYL-007,>68-72%</d,Medi,""">10%",""">64–75° F (18–24° C)<",>No</d,"
    Like 
    <a href=""https://omegayeast.com/yeast/ales/british-ale-i"">British Ale I (OYL-006)</a>
    , this English brewery strain is thought to be from the historical London brewery that Louis Pasteur visited. It is a strong fermenter, brewery friendly, flexible, leaves near spotless clarity, and has more fruit-like esters and malt than British Ale I. Select for malt and fruit at higher fermentation temperatures or a clean profile at lower temperatures.
  "
0," British Ale IV 
",OYL-010,>69-76%</d,Medi,""">10%",""">69–76° F (21–24° C)<",>No</d,"Nuances of apple, clover honey and pear and a light mineral quality for great character presentation in English styles, particularly bitters. Not very flocculent compared to a lot of English strains. Filtration recommended."
0," American Pilsner 
",OYL-102,>71-75%</d,Medi,""">9% ",""">48–56° F (9–13° C)</",>No</d,"Thought to be from the most popular beer in America. A mild, neutral, smooth lager strain, dry and clean with good malt and very slight apple characteristics."
0," Belgian Ale DK 
",OYL-049,>73-80%</d,Medi,""">10%",""">67–70° F (19–21° C)<",>No</d,"A mild Belgian-charactered ale yeast with light toasty or biscuit-like aromatic maltiness. Can produce a touch of lagery sulfur, which conditions out over time."
0,,e,,,,,,n
